




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	genes_size2_unique.txt (Danio rerio)
Reference List:	Danio rerio (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Danio rerio - REFLIST (26248)	genes_size2_unique.txt (1823)	genes_size2_unique.txt (expected)	genes_size2_unique.txt (over/under)	genes_size2_unique.txt (fold Enrichment)	genes_size2_unique.txt (raw P-value)	genes_size2_unique.txt (FDR)
succinate transport (GO:0015744)	5	4	.35	+	11.52	1.10E-04	5.24E-03
transcription elongation by RNA polymerase I (GO:0006362)	5	3	.35	+	8.64	3.01E-03	4.83E-02
citrate transport (GO:0015746)	8	4	.56	+	7.20	1.29E-03	2.52E-02
tricarboxylic acid transport (GO:0006842)	8	4	.56	+	7.20	1.29E-03	2.50E-02
microtubule depolymerization (GO:0007019)	11	5	.76	+	6.54	5.21E-04	1.34E-02
cellular response to oxidative stress (GO:0034599)	15	6	1.04	+	5.76	3.22E-04	9.98E-03
transcription by RNA polymerase I (GO:0006360)	14	5	.97	+	5.14	1.89E-03	3.38E-02
protein depolymerization (GO:0051261)	27	8	1.88	+	4.27	3.58E-04	1.08E-02
dicarboxylic acid transport (GO:0006835)	36	10	2.50	+	4.00	1.22E-04	5.69E-03
C4-dicarboxylate transport (GO:0015740)	26	7	1.81	+	3.88	1.57E-03	2.92E-02
regulation of systemic arterial blood pressure (GO:0003073)	27	7	1.88	+	3.73	1.99E-03	3.46E-02
response to oxidative stress (GO:0006979)	35	9	2.43	+	3.70	4.98E-04	1.33E-02
cellular response to starvation (GO:0009267)	35	9	2.43	+	3.70	4.98E-04	1.31E-02
glucose metabolic process (GO:0006006)	32	8	2.22	+	3.60	1.24E-03	2.45E-02
cellular response to nutrient levels (GO:0031669)	36	9	2.50	+	3.60	6.23E-04	1.53E-02
cellular response to extracellular stimulus (GO:0031668)	36	9	2.50	+	3.60	6.23E-04	1.51E-02
ceramide biosynthetic process (GO:0046513)	45	11	3.13	+	3.52	1.97E-04	7.55E-03
response to starvation (GO:0042594)	42	10	2.92	+	3.43	4.80E-04	1.30E-02
regulation of microtubule polymerization or depolymerization (GO:0031110)	38	9	2.64	+	3.41	9.52E-04	2.09E-02
cellular response to external stimulus (GO:0071496)	38	9	2.64	+	3.41	9.52E-04	2.07E-02
regulation of blood pressure (GO:0008217)	34	8	2.36	+	3.39	1.90E-03	3.35E-02
glycolipid biosynthetic process (GO:0009247)	40	9	2.78	+	3.24	1.41E-03	2.65E-02
